user_name,parent_name,time
Buck_Thorn,ganymede_boy,1470604422.0
sharpblueasymptote,Buck_Thorn,1470594787.0
NeonDisease,Buck_Thorn,1470617729.0
ThePedanticCynic,sharpblueasymptote,1470600275.0
team-evil,ThePedanticCynic,1470600383.0
ThePedanticCynic,team-evil,1470601056.0
,ThePedanticCynic,1470608636.0
nitrogen76,,1470620977.0
Neptune420,,1470618040.0
,nitrogen76,1470624782.0
,Neptune420,1470624820.0
SweetTea1000,,1470649517.0
Neptune420,,1470626683.0
RoachKabob,ganymede_boy,1470604422.0
JosephND,ganymede_boy,1470604422.0
yomyex,JosephND,1470628908.0
ShootTrumpIntoTheSun,yomyex,1470629702.0
Wafflebeater9,ganymede_boy,1470604422.0
ganymede_boy,Wafflebeater9,1470659015.0
ThePedanticCynic,,1470604422.0
Thengine,ThePedanticCynic,1470603759.0
voice-of-hermes,Thengine,1470621913.0
geeky_username,,1470604422.0
Theige,Eddie_Hitler,1470604422.0
manys,Eddie_Hitler,1470604422.0
ThePedanticCynic,manys,1470600401.0
manys,ThePedanticCynic,1470640629.0
ShootTrumpIntoTheSun,,1470604422.0
theonlylawislove,lifeson106,1470604422.0
beef_stampede,theonlylawislove,1470594656.0
RoxasTheNobody,lifeson106,1470604422.0
TotesMessenger,AnotherDawkins,1470604422.0
TheManDapperDan,AnotherDawkins,1470604422.0
AnotherDawkins,TheManDapperDan,1470595846.0
Theige,TheManDapperDan,1470740280.0
manys,AnotherDawkins,1470600015.0
Jmandr2,AnotherDawkins,1470596120.0
AnotherDawkins,manys,1470601494.0
AnotherDawkins,Jmandr2,1470596567.0
rudolf88fate,AnotherDawkins,1470603199.0
manys,AnotherDawkins,1470640792.0
Average2520,AnotherDawkins,1470673239.0
Jmandr2,AnotherDawkins,1470596827.0
Starlifter2,AnotherDawkins,1470658642.0
AnotherDawkins,rudolf88fate,1470604525.0
AnotherDawkins,Average2520,1470681976.0
AnotherDawkins,Jmandr2,1470597013.0
Jmandr2,AnotherDawkins,1470609255.0
GotSomeOliveInYaSkin,AnotherDawkins,1470606281.0
ShootTrumpIntoTheSun,AnotherDawkins,1470629978.0
,AnotherDawkins,1470688977.0
Jmandr2,AnotherDawkins,1470597256.0
refuesal,AnotherDawkins,1470607098.0
AnotherDawkins,GotSomeOliveInYaSkin,1470607759.0
AnotherDawkins,ShootTrumpIntoTheSun,1470630695.0
AnotherDawkins,,1470689367.0
ShootTrumpIntoTheSun,Jmandr2,1470630047.0
AnotherDawkins,Jmandr2,1470598881.0
AnotherDawkins,refuesal,1470607294.0
ShootTrumpIntoTheSun,AnotherDawkins,1470630845.0
,AnotherDawkins,1470689815.0
mach1rcode,ShootTrumpIntoTheSun,1470721341.0
Jmandr2,AnotherDawkins,1470599841.0
AnotherDawkins,ShootTrumpIntoTheSun,1470671331.0
mach1rcode,ShootTrumpIntoTheSun,1470721254.0
AnotherDawkins,,1470690954.0
AnotherDawkins,Jmandr2,1470601584.0
Jmandr2,AnotherDawkins,1470697424.0
Jmandr2,AnotherDawkins,1470601893.0
AnotherDawkins,Jmandr2,1470602018.0
Jmandr2,AnotherDawkins,1470602253.0
AnotherDawkins,Jmandr2,1470602705.0
Jmandr2,AnotherDawkins,1470603467.0
AnotherDawkins,Jmandr2,1470604498.0
Jmandr2,AnotherDawkins,1470604747.0
AnotherDawkins,Jmandr2,1470604872.0
Jmandr2,AnotherDawkins,1470605072.0
AnotherDawkins,Jmandr2,1470605125.0
Jmandr2,AnotherDawkins,1470605354.0
AnotherDawkins,Jmandr2,1470606046.0
Jmandr2,AnotherDawkins,1470607123.0
AnotherDawkins,Jmandr2,1470607236.0
Jmandr2,AnotherDawkins,1470607623.0
AnotherDawkins,Jmandr2,1470607779.0
Jmandr2,AnotherDawkins,1470607851.0
AnotherDawkins,Jmandr2,1470608105.0
Jmandr2,AnotherDawkins,1470608355.0
AnotherDawkins,Jmandr2,1470608705.0
Jmandr2,AnotherDawkins,1470608968.0
IFuckedYourFacebook,AnotherDawkins,1470604422.0
AnotherDawkins,IFuckedYourFacebook,1470592450.0
IFuckedYourFacebook,AnotherDawkins,1470594163.0
AnotherDawkins,IFuckedYourFacebook,1470595124.0
IFuckedYourFacebook,AnotherDawkins,1470596064.0
AnotherDawkins,IFuckedYourFacebook,1470596723.0
IFuckedYourFacebook,AnotherDawkins,1470670562.0
varanone,AnotherDawkins,1470615915.0
AnotherDawkins,varanone,1470617337.0
ghotiaroma,AnotherDawkins,1470604422.0
AnotherDawkins,ghotiaroma,1470595775.0
ghotiaroma,AnotherDawkins,1470595990.0
AnotherDawkins,ghotiaroma,1470596895.0
ghotiaroma,AnotherDawkins,1470602528.0
stone_dickson,AnotherDawkins,1470599800.0
AnotherDawkins,ghotiaroma,1470602676.0
AnotherDawkins,stone_dickson,1470601714.0
ghotiaroma,AnotherDawkins,1470602763.0
AnotherDawkins,ghotiaroma,1470604550.0
8daze,hsfrey,1470604422.0
sharpblueasymptote,Buck_Thorn,1470604422.0
ThePedanticCynic,sharpblueasymptote,1470600275.0
team-evil,ThePedanticCynic,1470600383.0
ThePedanticCynic,team-evil,1470601056.0
,ThePedanticCynic,1470608636.0
nitrogen76,,1470620977.0
Neptune420,,1470618040.0
,nitrogen76,1470624782.0
,Neptune420,1470624820.0
SweetTea1000,,1470649517.0
Neptune420,,1470626683.0
NeonDisease,Buck_Thorn,1470604422.0
yomyex,JosephND,1470604422.0
ShootTrumpIntoTheSun,yomyex,1470629702.0
ganymede_boy,Wafflebeater9,1470604422.0
Thengine,ThePedanticCynic,1470604422.0
voice-of-hermes,Thengine,1470621913.0
ThePedanticCynic,manys,1470604422.0
manys,ThePedanticCynic,1470640629.0
beef_stampede,theonlylawislove,1470604422.0
AnotherDawkins,TheManDapperDan,1470604422.0
manys,AnotherDawkins,1470600015.0
Jmandr2,AnotherDawkins,1470596120.0
AnotherDawkins,manys,1470601494.0
AnotherDawkins,Jmandr2,1470596567.0
rudolf88fate,AnotherDawkins,1470603199.0
manys,AnotherDawkins,1470640792.0
Average2520,AnotherDawkins,1470673239.0
Jmandr2,AnotherDawkins,1470596827.0
Starlifter2,AnotherDawkins,1470658642.0
AnotherDawkins,rudolf88fate,1470604525.0
AnotherDawkins,Average2520,1470681976.0
AnotherDawkins,Jmandr2,1470597013.0
Jmandr2,AnotherDawkins,1470609255.0
GotSomeOliveInYaSkin,AnotherDawkins,1470606281.0
ShootTrumpIntoTheSun,AnotherDawkins,1470629978.0
,AnotherDawkins,1470688977.0
Jmandr2,AnotherDawkins,1470597256.0
refuesal,AnotherDawkins,1470607098.0
AnotherDawkins,GotSomeOliveInYaSkin,1470607759.0
AnotherDawkins,ShootTrumpIntoTheSun,1470630695.0
AnotherDawkins,,1470689367.0
ShootTrumpIntoTheSun,Jmandr2,1470630047.0
AnotherDawkins,Jmandr2,1470598881.0
AnotherDawkins,refuesal,1470607294.0
ShootTrumpIntoTheSun,AnotherDawkins,1470630845.0
,AnotherDawkins,1470689815.0
mach1rcode,ShootTrumpIntoTheSun,1470721341.0
Jmandr2,AnotherDawkins,1470599841.0
AnotherDawkins,ShootTrumpIntoTheSun,1470671331.0
mach1rcode,ShootTrumpIntoTheSun,1470721254.0
AnotherDawkins,,1470690954.0
AnotherDawkins,Jmandr2,1470601584.0
Jmandr2,AnotherDawkins,1470697424.0
Jmandr2,AnotherDawkins,1470601893.0
AnotherDawkins,Jmandr2,1470602018.0
Jmandr2,AnotherDawkins,1470602253.0
AnotherDawkins,Jmandr2,1470602705.0
Jmandr2,AnotherDawkins,1470603467.0
AnotherDawkins,Jmandr2,1470604498.0
Jmandr2,AnotherDawkins,1470604747.0
AnotherDawkins,Jmandr2,1470604872.0
Jmandr2,AnotherDawkins,1470605072.0
AnotherDawkins,Jmandr2,1470605125.0
Jmandr2,AnotherDawkins,1470605354.0
AnotherDawkins,Jmandr2,1470606046.0
Jmandr2,AnotherDawkins,1470607123.0
AnotherDawkins,Jmandr2,1470607236.0
Jmandr2,AnotherDawkins,1470607623.0
AnotherDawkins,Jmandr2,1470607779.0
Jmandr2,AnotherDawkins,1470607851.0
AnotherDawkins,Jmandr2,1470608105.0
Jmandr2,AnotherDawkins,1470608355.0
AnotherDawkins,Jmandr2,1470608705.0
Jmandr2,AnotherDawkins,1470608968.0
Theige,TheManDapperDan,1470604422.0
AnotherDawkins,IFuckedYourFacebook,1470604422.0
IFuckedYourFacebook,AnotherDawkins,1470594163.0
AnotherDawkins,IFuckedYourFacebook,1470595124.0
IFuckedYourFacebook,AnotherDawkins,1470596064.0
AnotherDawkins,IFuckedYourFacebook,1470596723.0
IFuckedYourFacebook,AnotherDawkins,1470670562.0
varanone,AnotherDawkins,1470615915.0
AnotherDawkins,varanone,1470617337.0
AnotherDawkins,ghotiaroma,1470604422.0
ghotiaroma,AnotherDawkins,1470595990.0
AnotherDawkins,ghotiaroma,1470596895.0
ghotiaroma,AnotherDawkins,1470602528.0
stone_dickson,AnotherDawkins,1470599800.0
AnotherDawkins,ghotiaroma,1470602676.0
AnotherDawkins,stone_dickson,1470601714.0
ghotiaroma,AnotherDawkins,1470602763.0
AnotherDawkins,ghotiaroma,1470604550.0
ThePedanticCynic,sharpblueasymptote,1470604422.0
team-evil,ThePedanticCynic,1470600383.0
ThePedanticCynic,team-evil,1470601056.0
,ThePedanticCynic,1470608636.0
nitrogen76,,1470620977.0
Neptune420,,1470618040.0
,nitrogen76,1470624782.0
,Neptune420,1470624820.0
SweetTea1000,,1470649517.0
Neptune420,,1470626683.0
ShootTrumpIntoTheSun,yomyex,1470604422.0
voice-of-hermes,Thengine,1470604422.0
manys,ThePedanticCynic,1470604422.0
manys,AnotherDawkins,1470604422.0
AnotherDawkins,manys,1470601494.0
rudolf88fate,AnotherDawkins,1470603199.0
manys,AnotherDawkins,1470640792.0
Average2520,AnotherDawkins,1470673239.0
AnotherDawkins,rudolf88fate,1470604525.0
AnotherDawkins,Average2520,1470681976.0
Jmandr2,AnotherDawkins,1470609255.0
GotSomeOliveInYaSkin,AnotherDawkins,1470606281.0
ShootTrumpIntoTheSun,AnotherDawkins,1470629978.0
,AnotherDawkins,1470688977.0
AnotherDawkins,GotSomeOliveInYaSkin,1470607759.0
AnotherDawkins,ShootTrumpIntoTheSun,1470630695.0
AnotherDawkins,,1470689367.0
ShootTrumpIntoTheSun,AnotherDawkins,1470630845.0
,AnotherDawkins,1470689815.0
AnotherDawkins,ShootTrumpIntoTheSun,1470671331.0
mach1rcode,ShootTrumpIntoTheSun,1470721254.0
AnotherDawkins,,1470690954.0
Jmandr2,AnotherDawkins,1470697424.0
Jmandr2,AnotherDawkins,1470604422.0
AnotherDawkins,Jmandr2,1470596567.0
Jmandr2,AnotherDawkins,1470596827.0
Starlifter2,AnotherDawkins,1470658642.0
AnotherDawkins,Jmandr2,1470597013.0
Jmandr2,AnotherDawkins,1470597256.0
refuesal,AnotherDawkins,1470607098.0
ShootTrumpIntoTheSun,Jmandr2,1470630047.0
AnotherDawkins,Jmandr2,1470598881.0
AnotherDawkins,refuesal,1470607294.0
mach1rcode,ShootTrumpIntoTheSun,1470721341.0
Jmandr2,AnotherDawkins,1470599841.0
AnotherDawkins,Jmandr2,1470601584.0
Jmandr2,AnotherDawkins,1470601893.0
AnotherDawkins,Jmandr2,1470602018.0
Jmandr2,AnotherDawkins,1470602253.0
AnotherDawkins,Jmandr2,1470602705.0
Jmandr2,AnotherDawkins,1470603467.0
AnotherDawkins,Jmandr2,1470604498.0
Jmandr2,AnotherDawkins,1470604747.0
AnotherDawkins,Jmandr2,1470604872.0
Jmandr2,AnotherDawkins,1470605072.0
AnotherDawkins,Jmandr2,1470605125.0
Jmandr2,AnotherDawkins,1470605354.0
AnotherDawkins,Jmandr2,1470606046.0
Jmandr2,AnotherDawkins,1470607123.0
AnotherDawkins,Jmandr2,1470607236.0
Jmandr2,AnotherDawkins,1470607623.0
AnotherDawkins,Jmandr2,1470607779.0
Jmandr2,AnotherDawkins,1470607851.0
AnotherDawkins,Jmandr2,1470608105.0
Jmandr2,AnotherDawkins,1470608355.0
AnotherDawkins,Jmandr2,1470608705.0
Jmandr2,AnotherDawkins,1470608968.0
IFuckedYourFacebook,AnotherDawkins,1470604422.0
AnotherDawkins,IFuckedYourFacebook,1470595124.0
IFuckedYourFacebook,AnotherDawkins,1470596064.0
AnotherDawkins,IFuckedYourFacebook,1470596723.0
IFuckedYourFacebook,AnotherDawkins,1470670562.0
varanone,AnotherDawkins,1470615915.0
AnotherDawkins,varanone,1470617337.0
ghotiaroma,AnotherDawkins,1470604422.0
AnotherDawkins,ghotiaroma,1470596895.0
ghotiaroma,AnotherDawkins,1470602528.0
stone_dickson,AnotherDawkins,1470599800.0
AnotherDawkins,ghotiaroma,1470602676.0
AnotherDawkins,stone_dickson,1470601714.0
ghotiaroma,AnotherDawkins,1470602763.0
AnotherDawkins,ghotiaroma,1470604550.0
team-evil,ThePedanticCynic,1470604422.0
ThePedanticCynic,team-evil,1470601056.0
,ThePedanticCynic,1470608636.0
nitrogen76,,1470620977.0
Neptune420,,1470618040.0
,nitrogen76,1470624782.0
,Neptune420,1470624820.0
SweetTea1000,,1470649517.0
Neptune420,,1470626683.0
AnotherDawkins,manys,1470604422.0
rudolf88fate,AnotherDawkins,1470603199.0
manys,AnotherDawkins,1470640792.0
Average2520,AnotherDawkins,1470673239.0
AnotherDawkins,rudolf88fate,1470604525.0
AnotherDawkins,Average2520,1470681976.0
Jmandr2,AnotherDawkins,1470609255.0
GotSomeOliveInYaSkin,AnotherDawkins,1470606281.0
ShootTrumpIntoTheSun,AnotherDawkins,1470629978.0
,AnotherDawkins,1470688977.0
AnotherDawkins,GotSomeOliveInYaSkin,1470607759.0
AnotherDawkins,ShootTrumpIntoTheSun,1470630695.0
AnotherDawkins,,1470689367.0
ShootTrumpIntoTheSun,AnotherDawkins,1470630845.0
,AnotherDawkins,1470689815.0
AnotherDawkins,ShootTrumpIntoTheSun,1470671331.0
mach1rcode,ShootTrumpIntoTheSun,1470721254.0
AnotherDawkins,,1470690954.0
Jmandr2,AnotherDawkins,1470697424.0
AnotherDawkins,Jmandr2,1470604422.0
Jmandr2,AnotherDawkins,1470596827.0
Starlifter2,AnotherDawkins,1470658642.0
AnotherDawkins,Jmandr2,1470597013.0
Jmandr2,AnotherDawkins,1470597256.0
refuesal,AnotherDawkins,1470607098.0
ShootTrumpIntoTheSun,Jmandr2,1470630047.0
AnotherDawkins,Jmandr2,1470598881.0
AnotherDawkins,refuesal,1470607294.0
mach1rcode,ShootTrumpIntoTheSun,1470721341.0
Jmandr2,AnotherDawkins,1470599841.0
AnotherDawkins,Jmandr2,1470601584.0
Jmandr2,AnotherDawkins,1470601893.0
AnotherDawkins,Jmandr2,1470602018.0
Jmandr2,AnotherDawkins,1470602253.0
AnotherDawkins,Jmandr2,1470602705.0
Jmandr2,AnotherDawkins,1470603467.0
AnotherDawkins,Jmandr2,1470604498.0
Jmandr2,AnotherDawkins,1470604747.0
AnotherDawkins,Jmandr2,1470604872.0
Jmandr2,AnotherDawkins,1470605072.0
AnotherDawkins,Jmandr2,1470605125.0
Jmandr2,AnotherDawkins,1470605354.0
AnotherDawkins,Jmandr2,1470606046.0
Jmandr2,AnotherDawkins,1470607123.0
AnotherDawkins,Jmandr2,1470607236.0
Jmandr2,AnotherDawkins,1470607623.0
AnotherDawkins,Jmandr2,1470607779.0
Jmandr2,AnotherDawkins,1470607851.0
AnotherDawkins,Jmandr2,1470608105.0
Jmandr2,AnotherDawkins,1470608355.0
AnotherDawkins,Jmandr2,1470608705.0
Jmandr2,AnotherDawkins,1470608968.0
AnotherDawkins,IFuckedYourFacebook,1470604422.0
