user_name,parent_name,time
firebat707,jumjimbo,1442484192.0
SuperbTomatos,firebat707,1442482150.0
__KODY__,firebat707,1442475874.0
posananer,firebat707,1442499592.0
Andaelas,firebat707,1442520079.0
FootofGod,firebat707,1442464003.0
rapemybones,SuperbTomatos,1442508521.0
jeanwearinfool,SuperbTomatos,1442513540.0
ZeraskGuilda,SuperbTomatos,1442515196.0
,posananer,1442506631.0
firebat707,Andaelas,1442534253.0
dailysubscriber,FootofGod,1442468324.0
goofball_jones,dailysubscriber,1442473916.0
FootofGod,dailysubscriber,1442491999.0
____DADPOOL____,goofball_jones,1442501593.0
dickensher,goofball_jones,1442474306.0
,FootofGod,1442505466.0
PM_ME_YOUR_SASQUATCH,dickensher,1442474635.0
FootofGod,,1442516568.0
birdarms,PM_ME_YOUR_SASQUATCH,1442474839.0
dickensher,PM_ME_YOUR_SASQUATCH,1442474899.0
BruceWayne_Batman,jumjimbo,1442484192.0
TheElegantHobo,DaWalrus69,1442484192.0
The_Ill_Made_Knight,TheElegantHobo,1442459163.0
Obesibas,DaWalrus69,1442484192.0
,Obesibas,1442476884.0
Noble_Flatulence,,1442485057.0
Wulfys,DaWalrus69,1442484192.0
,Wulfys,1442497123.0
kickass121,,1442499107.0
Pithong,Iskan_Dar,1442484192.0
unchow,Pithong,1442474064.0
Dr_Wreck,Pithong,1442468486.0
thecostly,Pithong,1442473257.0
whynotwarp10,Pithong,1442495652.0
,unchow,1442478523.0
bl1y,unchow,1442489793.0
joshcouch,unchow,1442500066.0
Snarfwang,Dr_Wreck,1442470276.0
LynchGFX,whynotwarp10,1442498091.0
snowysnowy,,1442482649.0
scumbagcoyote,,1442520834.0
xyroclast,Snarfwang,1442471412.0
akmarksman,Snarfwang,1442479071.0
reddevved,xyroclast,1442472180.0
Swaguarr,xyroclast,1442488441.0
Snarfwang,xyroclast,1442471685.0
,xyroclast,1442475111.0
xyroclast,reddevved,1442472763.0
Bearsuit0,reddevved,1442472925.0
castlerocktronics,Iskan_Dar,1442484192.0
CrouchingTortoise,castlerocktronics,1442493677.0
UnderwaterDialect,Iskan_Dar,1442484192.0
combatchris,UnderwaterDialect,1442478792.0
miss_misery83,UnderwaterDialect,1442484014.0
25sittinon25cents,UnderwaterDialect,1442498072.0
amolad,Iskan_Dar,1442484192.0
vanderZwan,amolad,1442498018.0
amolad,vanderZwan,1442498099.0
vanderZwan,amolad,1442498252.0
amolad,vanderZwan,1442499739.0
vanderZwan,amolad,1442500298.0
amolad,vanderZwan,1442501840.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
innovationzz,Iskan_Dar,1442484192.0
PM_ME_YOUR_SASQUATCH,zebrastarz,1442484192.0
akmarksman,PM_ME_YOUR_SASQUATCH,1442479085.0
laxkid101,zebrastarz,1442484192.0
accidental_tourist,k1ll3rInstincts,1442484192.0
DarkRubberDucky,accidental_tourist,1442479187.0
kenshinmoe,accidental_tourist,1442491464.0
,accidental_tourist,1442470129.0
sunnyquarantine,accidental_tourist,1442515933.0
Tmntjj,DarkRubberDucky,1442481966.0
Spindash54,DarkRubberDucky,1442498407.0
Yeonus,,1442481779.0
dawarrior_vex,Tmntjj,1442491146.0
Popsamite,Yeonus,1442485523.0
electrohouseFTW,dawarrior_vex,1442497191.0
boffohijinx,electrohouseFTW,1442530971.0
Fernao,k1ll3rInstincts,1442484192.0
trucekill,Fernao,1442478889.0
raddaya,Fernao,1442490860.0
PM_ME_BIGGER_BOOBS,k1ll3rInstincts,1442484192.0
DGunner,k1ll3rInstincts,1442484192.0
homrqt,DGunner,1442493633.0
drteq,homrqt,1442494881.0
Ragmetil,homrqt,1442497918.0
QuickStopRandal,drteq,1442501609.0
cclan2,drteq,1442498191.0
QuickStopRandal,Ragmetil,1442501506.0
bartles09,QuickStopRandal,1442502145.0
drteq,QuickStopRandal,1442503180.0
bartles09,cclan2,1442501782.0
Ragmetil,QuickStopRandal,1442504197.0
QuickStopRandal,drteq,1442503941.0
Merfen,bartles09,1442509817.0
VidaGeek,QuickStopRandal,1442506110.0
drteq,QuickStopRandal,1442504274.0
QuickStopRandal,VidaGeek,1442506750.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
ImTheGuyWithTheGun,k1ll3rInstincts,1442484192.0
k1lljey,ImTheGuyWithTheGun,1442488958.0
sathirtythree,k1ll3rInstincts,1442484192.0
trucekill,k1ll3rInstincts,1442484192.0
Smaug_the_Tremendous,Xanthanum87,1442484192.0
jakemurray,shotinthedark83,1442484192.0
spencerlance,jakemurray,1442486335.0
jordanmc,jakemurray,1442495092.0
bankholdup5,jakemurray,1442495169.0
shotinthedark83,jakemurray,1442485898.0
,DrPavel_Im_CIA,1442484192.0
Drewlicious,,1442491648.0
ILike_Lamps,DrPavel_Im_CIA,1442484192.0
DrPavel_Im_CIA,ILike_Lamps,1442493844.0
,MattheJ1,1442484192.0
xyroclast,MattheJ1,1442484192.0
Oxtorius,xyroclast,1442481737.0
horceface,xyroclast,1442491066.0
Ulster_fry,xyroclast,1442493925.0
kobbled,horceface,1442495555.0
mizike,horceface,1442498323.0
,Once_Upon_Time,1442484192.0
DeathDeli,Once_Upon_Time,1442484192.0
diz4,Millers_Tale,1442484192.0
WeLoveAK,MaxChaplin,1442484192.0
MaxChaplin,WeLoveAK,1442486096.0
,mushbo,1442484192.0
mushbo,,1442493383.0
SuperbTomatos,firebat707,1442484192.0
rapemybones,SuperbTomatos,1442508521.0
jeanwearinfool,SuperbTomatos,1442513540.0
ZeraskGuilda,SuperbTomatos,1442515196.0
__KODY__,firebat707,1442484192.0
posananer,firebat707,1442484192.0
,posananer,1442506631.0
Andaelas,firebat707,1442484192.0
firebat707,Andaelas,1442534253.0
FootofGod,firebat707,1442484192.0
dailysubscriber,FootofGod,1442468324.0
goofball_jones,dailysubscriber,1442473916.0
FootofGod,dailysubscriber,1442491999.0
____DADPOOL____,goofball_jones,1442501593.0
dickensher,goofball_jones,1442474306.0
,FootofGod,1442505466.0
PM_ME_YOUR_SASQUATCH,dickensher,1442474635.0
FootofGod,,1442516568.0
birdarms,PM_ME_YOUR_SASQUATCH,1442474839.0
dickensher,PM_ME_YOUR_SASQUATCH,1442474899.0
The_Ill_Made_Knight,TheElegantHobo,1442484192.0
,Obesibas,1442484192.0
Noble_Flatulence,,1442485057.0
,Wulfys,1442484192.0
kickass121,,1442499107.0
unchow,Pithong,1442484192.0
,unchow,1442478523.0
bl1y,unchow,1442489793.0
joshcouch,unchow,1442500066.0
snowysnowy,,1442482649.0
scumbagcoyote,,1442520834.0
Dr_Wreck,Pithong,1442484192.0
Snarfwang,Dr_Wreck,1442470276.0
xyroclast,Snarfwang,1442471412.0
akmarksman,Snarfwang,1442479071.0
reddevved,xyroclast,1442472180.0
Swaguarr,xyroclast,1442488441.0
Snarfwang,xyroclast,1442471685.0
,xyroclast,1442475111.0
xyroclast,reddevved,1442472763.0
Bearsuit0,reddevved,1442472925.0
thecostly,Pithong,1442484192.0
whynotwarp10,Pithong,1442484192.0
LynchGFX,whynotwarp10,1442498091.0
CrouchingTortoise,castlerocktronics,1442484192.0
combatchris,UnderwaterDialect,1442484192.0
miss_misery83,UnderwaterDialect,1442484192.0
25sittinon25cents,UnderwaterDialect,1442484192.0
vanderZwan,amolad,1442484192.0
amolad,vanderZwan,1442498099.0
vanderZwan,amolad,1442498252.0
amolad,vanderZwan,1442499739.0
vanderZwan,amolad,1442500298.0
amolad,vanderZwan,1442501840.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
akmarksman,PM_ME_YOUR_SASQUATCH,1442484192.0
DarkRubberDucky,accidental_tourist,1442484192.0
Tmntjj,DarkRubberDucky,1442481966.0
Spindash54,DarkRubberDucky,1442498407.0
dawarrior_vex,Tmntjj,1442491146.0
electrohouseFTW,dawarrior_vex,1442497191.0
boffohijinx,electrohouseFTW,1442530971.0
kenshinmoe,accidental_tourist,1442484192.0
,accidental_tourist,1442484192.0
Yeonus,,1442481779.0
Popsamite,Yeonus,1442485523.0
sunnyquarantine,accidental_tourist,1442484192.0
trucekill,Fernao,1442484192.0
raddaya,Fernao,1442484192.0
homrqt,DGunner,1442484192.0
drteq,homrqt,1442494881.0
Ragmetil,homrqt,1442497918.0
QuickStopRandal,drteq,1442501609.0
cclan2,drteq,1442498191.0
QuickStopRandal,Ragmetil,1442501506.0
bartles09,QuickStopRandal,1442502145.0
drteq,QuickStopRandal,1442503180.0
bartles09,cclan2,1442501782.0
Ragmetil,QuickStopRandal,1442504197.0
QuickStopRandal,drteq,1442503941.0
Merfen,bartles09,1442509817.0
VidaGeek,QuickStopRandal,1442506110.0
drteq,QuickStopRandal,1442504274.0
QuickStopRandal,VidaGeek,1442506750.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
k1lljey,ImTheGuyWithTheGun,1442484192.0
spencerlance,jakemurray,1442484192.0
jordanmc,jakemurray,1442484192.0
bankholdup5,jakemurray,1442484192.0
shotinthedark83,jakemurray,1442484192.0
Drewlicious,,1442484192.0
DrPavel_Im_CIA,ILike_Lamps,1442484192.0
Oxtorius,xyroclast,1442484192.0
horceface,xyroclast,1442484192.0
kobbled,horceface,1442495555.0
mizike,horceface,1442498323.0
Ulster_fry,xyroclast,1442484192.0
MaxChaplin,WeLoveAK,1442484192.0
mushbo,,1442484192.0
rapemybones,SuperbTomatos,1442484192.0
jeanwearinfool,SuperbTomatos,1442484192.0
ZeraskGuilda,SuperbTomatos,1442484192.0
,posananer,1442484192.0
firebat707,Andaelas,1442484192.0
dailysubscriber,FootofGod,1442484192.0
goofball_jones,dailysubscriber,1442473916.0
FootofGod,dailysubscriber,1442491999.0
____DADPOOL____,goofball_jones,1442501593.0
dickensher,goofball_jones,1442474306.0
,FootofGod,1442505466.0
PM_ME_YOUR_SASQUATCH,dickensher,1442474635.0
FootofGod,,1442516568.0
birdarms,PM_ME_YOUR_SASQUATCH,1442474839.0
dickensher,PM_ME_YOUR_SASQUATCH,1442474899.0
Noble_Flatulence,,1442484192.0
kickass121,,1442484192.0
,unchow,1442484192.0
snowysnowy,,1442482649.0
scumbagcoyote,,1442520834.0
bl1y,unchow,1442484192.0
joshcouch,unchow,1442484192.0
Snarfwang,Dr_Wreck,1442484192.0
xyroclast,Snarfwang,1442471412.0
akmarksman,Snarfwang,1442479071.0
reddevved,xyroclast,1442472180.0
Swaguarr,xyroclast,1442488441.0
Snarfwang,xyroclast,1442471685.0
,xyroclast,1442475111.0
xyroclast,reddevved,1442472763.0
Bearsuit0,reddevved,1442472925.0
LynchGFX,whynotwarp10,1442484192.0
amolad,vanderZwan,1442484192.0
vanderZwan,amolad,1442498252.0
amolad,vanderZwan,1442499739.0
vanderZwan,amolad,1442500298.0
amolad,vanderZwan,1442501840.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
Tmntjj,DarkRubberDucky,1442484192.0
dawarrior_vex,Tmntjj,1442491146.0
electrohouseFTW,dawarrior_vex,1442497191.0
boffohijinx,electrohouseFTW,1442530971.0
Spindash54,DarkRubberDucky,1442484192.0
Yeonus,,1442484192.0
Popsamite,Yeonus,1442485523.0
drteq,homrqt,1442484192.0
QuickStopRandal,drteq,1442501609.0
cclan2,drteq,1442498191.0
bartles09,QuickStopRandal,1442502145.0
drteq,QuickStopRandal,1442503180.0
bartles09,cclan2,1442501782.0
QuickStopRandal,drteq,1442503941.0
Merfen,bartles09,1442509817.0
VidaGeek,QuickStopRandal,1442506110.0
drteq,QuickStopRandal,1442504274.0
QuickStopRandal,VidaGeek,1442506750.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
Ragmetil,homrqt,1442484192.0
QuickStopRandal,Ragmetil,1442501506.0
Ragmetil,QuickStopRandal,1442504197.0
kobbled,horceface,1442484192.0
mizike,horceface,1442484192.0
goofball_jones,dailysubscriber,1442484192.0
____DADPOOL____,goofball_jones,1442501593.0
dickensher,goofball_jones,1442474306.0
PM_ME_YOUR_SASQUATCH,dickensher,1442474635.0
birdarms,PM_ME_YOUR_SASQUATCH,1442474839.0
dickensher,PM_ME_YOUR_SASQUATCH,1442474899.0
FootofGod,dailysubscriber,1442484192.0
,FootofGod,1442505466.0
FootofGod,,1442516568.0
snowysnowy,,1442484192.0
scumbagcoyote,,1442484192.0
xyroclast,Snarfwang,1442484192.0
reddevved,xyroclast,1442472180.0
Swaguarr,xyroclast,1442488441.0
Snarfwang,xyroclast,1442471685.0
,xyroclast,1442475111.0
xyroclast,reddevved,1442472763.0
Bearsuit0,reddevved,1442472925.0
akmarksman,Snarfwang,1442484192.0
vanderZwan,amolad,1442484192.0
amolad,vanderZwan,1442499739.0
vanderZwan,amolad,1442500298.0
amolad,vanderZwan,1442501840.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
dawarrior_vex,Tmntjj,1442484192.0
electrohouseFTW,dawarrior_vex,1442497191.0
boffohijinx,electrohouseFTW,1442530971.0
Popsamite,Yeonus,1442484192.0
QuickStopRandal,drteq,1442484192.0
bartles09,QuickStopRandal,1442502145.0
drteq,QuickStopRandal,1442503180.0
QuickStopRandal,drteq,1442503941.0
VidaGeek,QuickStopRandal,1442506110.0
drteq,QuickStopRandal,1442504274.0
QuickStopRandal,VidaGeek,1442506750.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
cclan2,drteq,1442484192.0
bartles09,cclan2,1442501782.0
Merfen,bartles09,1442509817.0
QuickStopRandal,Ragmetil,1442484192.0
Ragmetil,QuickStopRandal,1442504197.0
____DADPOOL____,goofball_jones,1442484192.0
dickensher,goofball_jones,1442484192.0
PM_ME_YOUR_SASQUATCH,dickensher,1442474635.0
birdarms,PM_ME_YOUR_SASQUATCH,1442474839.0
dickensher,PM_ME_YOUR_SASQUATCH,1442474899.0
,FootofGod,1442484192.0
FootofGod,,1442516568.0
reddevved,xyroclast,1442484192.0
xyroclast,reddevved,1442472763.0
Bearsuit0,reddevved,1442472925.0
Swaguarr,xyroclast,1442484192.0
Snarfwang,xyroclast,1442484192.0
,xyroclast,1442484192.0
amolad,vanderZwan,1442484192.0
vanderZwan,amolad,1442500298.0
amolad,vanderZwan,1442501840.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
electrohouseFTW,dawarrior_vex,1442484192.0
boffohijinx,electrohouseFTW,1442530971.0
bartles09,QuickStopRandal,1442484192.0
drteq,QuickStopRandal,1442484192.0
QuickStopRandal,drteq,1442503941.0
VidaGeek,QuickStopRandal,1442506110.0
drteq,QuickStopRandal,1442504274.0
QuickStopRandal,VidaGeek,1442506750.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
bartles09,cclan2,1442484192.0
Merfen,bartles09,1442509817.0
Ragmetil,QuickStopRandal,1442484192.0
PM_ME_YOUR_SASQUATCH,dickensher,1442484192.0
birdarms,PM_ME_YOUR_SASQUATCH,1442474839.0
dickensher,PM_ME_YOUR_SASQUATCH,1442474899.0
FootofGod,,1442484192.0
xyroclast,reddevved,1442484192.0
Bearsuit0,reddevved,1442484192.0
vanderZwan,amolad,1442484192.0
amolad,vanderZwan,1442501840.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
boffohijinx,electrohouseFTW,1442484192.0
QuickStopRandal,drteq,1442484192.0
VidaGeek,QuickStopRandal,1442506110.0
drteq,QuickStopRandal,1442504274.0
QuickStopRandal,VidaGeek,1442506750.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
Merfen,bartles09,1442484192.0
birdarms,PM_ME_YOUR_SASQUATCH,1442484192.0
dickensher,PM_ME_YOUR_SASQUATCH,1442484192.0
amolad,vanderZwan,1442484192.0
vanderZwan,amolad,1442504508.0
braised_diaper_shit,amolad,1442508521.0
amolad,vanderZwan,1442506933.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
VidaGeek,QuickStopRandal,1442484192.0
QuickStopRandal,VidaGeek,1442506750.0
drteq,QuickStopRandal,1442484192.0
QuickStopRandal,drteq,1442505650.0
drteq,QuickStopRandal,1442507777.0
vanderZwan,amolad,1442484192.0
amolad,vanderZwan,1442506933.0
braised_diaper_shit,amolad,1442484192.0
amolad,braised_diaper_shit,1442512290.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
QuickStopRandal,VidaGeek,1442484192.0
QuickStopRandal,drteq,1442484192.0
drteq,QuickStopRandal,1442507777.0
amolad,vanderZwan,1442484192.0
amolad,braised_diaper_shit,1442484192.0
braised_diaper_shit,amolad,1442512434.0
amolad,braised_diaper_shit,1442512708.0
drteq,QuickStopRandal,1442484192.0
braised_diaper_shit,amolad,1442484192.0
amolad,braised_diaper_shit,1442512708.0
amolad,braised_diaper_shit,1442484192.0
