user_name,parent_name,time
combatwombat8D,,1442492786.0
calfonso,combatwombat8D,1442471087.0
Barnacle-bill,combatwombat8D,1442491399.0
tnerbusas,combatwombat8D,1442495359.0
GolgiApparatus1,combatwombat8D,1442498293.0
jeneffy,combatwombat8D,1442502878.0
Ace_of_Clubs,combatwombat8D,1442506843.0
,combatwombat8D,1442471524.0
caffpanda,combatwombat8D,1442514699.0
420big_poppa_pump420,calfonso,1442477769.0
FabulousPaul,calfonso,1442473926.0
,calfonso,1442494926.0
machinemind,calfonso,1442494496.0
VenetiaMacGyver,calfonso,1442504914.0
Ace_of_Clubs,calfonso,1442506672.0
savvyxxl,calfonso,1442507948.0
,calfonso,1442512036.0
TheStumpyOne,calfonso,1442514043.0
Karl_Marx_,calfonso,1442479767.0
combatwombat8D,jeneffy,1442503311.0
bodysnatcer,Ace_of_Clubs,1442507939.0
grammatiker,,1442492570.0
nattetosti,420big_poppa_pump420,1442488322.0
alex3omg,420big_poppa_pump420,1442495631.0
Greasethrow,420big_poppa_pump420,1442501422.0
MyNamesNotDave_,420big_poppa_pump420,1442516003.0
samebrian,420big_poppa_pump420,1442497010.0
The_Rolling_Stone,FabulousPaul,1442475608.0
Illinois_Jones,FabulousPaul,1442510799.0
,FabulousPaul,1442475654.0
FunkleBurger,machinemind,1442508783.0
calfonso,TheStumpyOne,1442515146.0
Ace_of_Clubs,bodysnatcer,1442510521.0
MadeSomewhereElse,nattetosti,1442495807.0
basedobesity,samebrian,1442512161.0
Ace_of_Clubs,The_Rolling_Stone,1442507073.0
HermesGonzalos2008,The_Rolling_Stone,1442487509.0
,,1442481227.0
machinemind,FunkleBurger,1442509385.0
samebrian,basedobesity,1442842456.0
Ididntknowwehadaking,HermesGonzalos2008,1442506287.0
mypantsareonmyhead,,1442487782.0
We_Are_The_Romans,mypantsareonmyhead,1442490290.0
Betasheets,mypantsareonmyhead,1442491277.0
Rogerwilco1974,mypantsareonmyhead,1442499722.0
hamdinger125,Rogerwilco1974,1442510838.0
mypantsareonmyhead,,1442492786.0
Webo_,mypantsareonmyhead,1442516552.0
,,1442492786.0
,,1442501308.0
Klove128,,1442492786.0
,Klove128,1442519497.0
Klove128,,1442520564.0
,Klove128,1442521737.0
Karl_Marx_,,1442492786.0
xtfftc,Karl_Marx_,1442483773.0
BuckNasty89,,1442492786.0
josephdevon,BuckNasty89,1442490106.0
,BuckNasty89,1442491517.0
Sir_hammer_time,BuckNasty89,1442480106.0
ihate_all_niggers,josephdevon,1442491417.0
ShodyLoko,josephdevon,1442498771.0
