user_name,parent_name,time
h3lme7,makronic,1442476380.0
NewToSociety,h3lme7,1442467353.0
housebrickstocking,h3lme7,1442470616.0
geoffaree,h3lme7,1442482997.0
Seanatronic,h3lme7,1442488772.0
NotMyFinalAccount,h3lme7,1442472058.0
fubes2000,NewToSociety,1442469674.0
okraOkra,housebrickstocking,1442476684.0
kurisu7885,fubes2000,1442469765.0
weapongod30,kurisu7885,1442473249.0
,kurisu7885,1442489398.0
IBlewUpHerDeathstar,weapongod30,1442473386.0
RickSHAW_Tom,weapongod30,1442488711.0
VioletMisstery,IBlewUpHerDeathstar,1442474387.0
schmabers,IBlewUpHerDeathstar,1442480491.0
,IBlewUpHerDeathstar,1442488793.0
AlterBridgeFan,IBlewUpHerDeathstar,1442489040.0
weapongod30,RickSHAW_Tom,1442510883.0
BLOW_UP_THE_OCEAN,makronic,1442476380.0
okraOkra,BLOW_UP_THE_OCEAN,1442476658.0
TellMeWhyYouLoveMe,BLOW_UP_THE_OCEAN,1442471786.0
thedersy1,BLOW_UP_THE_OCEAN,1442487037.0
,makronic,1442476380.0
meatflapsmcgee,,1442484809.0
MadHatter69,,1442486195.0
HumanContradiction,,1442483956.0
OgGorrilaKing,HumanContradiction,1442484930.0
Saelstorm,OgGorrilaKing,1442486496.0
MrToxnz,Saelstorm,1442487286.0
Rogue3StandingBy,MrToxnz,1442488392.0
stat1stick,MrToxnz,1442490003.0
TimbuFTZB,makronic,1442476380.0
A7X4REVer,TimbuFTZB,1442486496.0
KineticConundrum,TimbuFTZB,1442484452.0
c4rdi4c4rrest,A7X4REVer,1442486781.0
pawnman99,KineticConundrum,1442486695.0
diolew,makronic,1442476380.0
NuclearFunTime,makronic,1442476380.0
The_Real_Tiger,makronic,1442476380.0
Ommageden,The_Real_Tiger,1442487911.0
offensivegrandma,makronic,1442476380.0
recursivellama,makronic,1442476380.0
cuntpuncher_69,makronic,1442476380.0
FlyingCarrotMan,makronic,1442476380.0
ContentEnt,makronic,1442476380.0
makronic,ContentEnt,1442475274.0
haddernanny,makronic,1442487174.0
WaxFaster,makronic,1442476380.0
makronic,WaxFaster,1442469860.0
AfroStorms,WaxFaster,1442466376.0
CountVonNeckbeard,WaxFaster,1442472039.0
Lots42,WaxFaster,1442481454.0
That_guy1143,makronic,1442470223.0
turtlepowerpizzatime,makronic,1442483804.0
whiskeytaang0,makronic,1442484941.0
esoteric_enigma,makronic,1442487640.0
CaitlinSarah87,AfroStorms,1442468082.0
,AfroStorms,1442467927.0
Lots42,AfroStorms,1442481493.0
ctrlaltelite,That_guy1143,1442471033.0
geoffaree,That_guy1143,1442483159.0
myiuki,,1442468045.0
SlowCB7,myiuki,1442469048.0
makronic,SlowCB7,1442469904.0
infinitetheory,spamjavelin,1442476380.0
WTFbeast,infinitetheory,1442478693.0
blh1003,infinitetheory,1442488943.0
greens_and_purples,WTFbeast,1442481945.0
InternetDegenerate,greens_and_purples,1442483370.0
m4g1ckmu5hr00m,InternetDegenerate,1442483456.0
,InternetDegenerate,1442488741.0
WTFbeast,m4g1ckmu5hr00m,1442485484.0
spamjavelin,m4g1ckmu5hr00m,1442489622.0
MrToxnz,,1442488913.0
,WTFbeast,1442488843.0
,MrToxnz,1442489252.0
dontforgetthelube,spamjavelin,1442476380.0
Dongslinger420,housebrickstocking,1442476380.0
worldalpha_com,housebrickstocking,1442476380.0
ThaiOneOff,dudeguybruh,1442476380.0
Lots42,Faithless195,1442476380.0
RickSHAW_Tom,Faithless195,1442476380.0
Abandon_The_Thread_,shintakenaka,1442476380.0
dejus,Abandon_The_Thread_,1442478181.0
evictor,Abandon_The_Thread_,1442486047.0
theian01,Abandon_The_Thread_,1442488332.0
Swordfish08,evictor,1442489260.0
geoffaree,,1442476380.0
Djhg2000,herpitty_derp,1442476380.0
knightress_oxhide,Djhg2000,1442472822.0
Lots42,Djhg2000,1442481532.0
soulfusion,Djhg2000,1442488112.0
Rabid_Chocobo,knightress_oxhide,1442485553.0
BeyondElectricDreams,knightress_oxhide,1442483642.0
BeyondElectricDreams,knightress_oxhide,1442483672.0
Nofgob,herpitty_derp,1442476380.0
Lots42,Nofgob,1442481584.0
,,1442476380.0
Idie_999,,1442478631.0
Cathach2,Idie_999,1442484072.0
TeTrodoToxin4,Cathach2,1442484227.0
Adalas,TeTrodoToxin4,1442488697.0
lovesickremix,Krobelux,1442476380.0
Paxtian,lovesickremix,1442487211.0
fkinusername_432,lovesickremix,1442489042.0
c4rdi4c4rrest,Krobelux,1442476380.0
hitokiri-battousai,c4rdi4c4rrest,1442488106.0
c4rdi4c4rrest,hitokiri-battousai,1442488724.0
hitokiri-battousai,c4rdi4c4rrest,1442492262.0
c4rdi4c4rrest,hitokiri-battousai,1442494576.0
