user_name,parent_name,time
Jubguy3,,1442762739.0
allhailthesatanfish,,1442762739.0
ShittPostBot,,1442762739.0
Theditor,,1442762739.0
AK_Happy,Theditor,1442764475.0
applebottomdude,AK_Happy,1442764793.0
trankwiZ,,1442762739.0
AK_Happy,,1442762739.0
saremei,,1442762739.0
HugMi,,1442762739.0
Sopixil,HugMi,1442763154.0
canipaybycheck,HugMi,1442764261.0
HugMi,Sopixil,1442764589.0
LayneInChains,HugMi,1442765043.0
HugMi,LayneInChains,1442766065.0
,LayneInChains,1442771350.0
IcyConn,,1442779082.0
LayneInChains,,1442784953.0
,IcyConn,1442779404.0
,LayneInChains,1442785270.0
LayneInChains,,1442789372.0
,LayneInChains,1442789682.0
LayneInChains,,1442789934.0
,LayneInChains,1442790005.0
LayneInChains,,1442790202.0
Jubguy3,conspiracy_thug,1442762739.0
designgoddess,conspiracy_thug,1442762739.0
conspiracy_thug,designgoddess,1442764646.0
designgoddess,conspiracy_thug,1442767679.0
Praise_Be_To_HSUS,RedEyesDragon,1442762739.0
,RedEyesDragon,1442762739.0
RedEyesDragon,,1442763848.0
AK_Happy,,1442762739.0
Onthegokindadude,AK_Happy,1442764678.0
AK_Happy,smb_samba,1442762739.0
Chyrios,smb_samba,1442762739.0
funkadunkalunk,mrdamnlol101,1442762739.0
Elvis_Depressely,funkadunkalunk,1442764192.0
bwh520,funkadunkalunk,1442762021.0
,funkadunkalunk,1442763097.0
,mrdamnlol101,1442762739.0
droveby,thecaptivatedgamer,1442762739.0
,droveby,1442764476.0
thecaptivatedgamer,droveby,1443196734.0
thecaptivatedgamer,,1443196553.0
,thecaptivatedgamer,1443196896.0
Beop_Jeong,,1442762739.0
_ChestHair_,Beop_Jeong,1442762588.0
reputable_opinion,Beop_Jeong,1442761620.0
John52677478,Beop_Jeong,1442761112.0
saremei,Beop_Jeong,1442762678.0
ThatForearmIsMineNow,reputable_opinion,1442762955.0
Waterknight94,reputable_opinion,1442763410.0
Kintarly,John52677478,1442761552.0
reputable_opinion,ThatForearmIsMineNow,1442763071.0
,ThatForearmIsMineNow,1442763290.0
reputable_opinion,Waterknight94,1442763581.0
ThatForearmIsMineNow,reputable_opinion,1442763295.0
ThatForearmIsMineNow,,1442763501.0
Waterknight94,reputable_opinion,1442764431.0
reputable_opinion,ThatForearmIsMineNow,1442763748.0
,ThatForearmIsMineNow,1442765346.0
reputable_opinion,Waterknight94,1442767671.0
ThatForearmIsMineNow,reputable_opinion,1442764265.0
ThatForearmIsMineNow,,1442768975.0
Waterknight94,reputable_opinion,1442769251.0
reputable_opinion,ThatForearmIsMineNow,1442767748.0
,ThatForearmIsMineNow,1442770985.0
reputable_opinion,Waterknight94,1442787785.0
ThatForearmIsMineNow,reputable_opinion,1442768881.0
ThatForearmIsMineNow,,1442774466.0
Waterknight94,reputable_opinion,1442799948.0
reputable_opinion,ThatForearmIsMineNow,1442787848.0
reputable_opinion,Waterknight94,1442801325.0
ThatForearmIsMineNow,reputable_opinion,1442788638.0
Waterknight94,reputable_opinion,1442801795.0
reputable_opinion,ThatForearmIsMineNow,1442789290.0
reputable_opinion,Waterknight94,1442801918.0
ThatForearmIsMineNow,reputable_opinion,1442789790.0
Waterknight94,reputable_opinion,1442802734.0
reputable_opinion,ThatForearmIsMineNow,1442789915.0
reputable_opinion,Waterknight94,1442803080.0
ThatForearmIsMineNow,reputable_opinion,1442790151.0
Waterknight94,reputable_opinion,1442803791.0
reputable_opinion,ThatForearmIsMineNow,1442790454.0
reputable_opinion,Waterknight94,1442804024.0
ThatForearmIsMineNow,reputable_opinion,1442790773.0
Waterknight94,reputable_opinion,1442805519.0
reputable_opinion,Waterknight94,1442805778.0
Waterknight94,reputable_opinion,1442810504.0
Theo_Dice,,1442762739.0
phattoes,,1442762739.0
tennisdrums,,1442762739.0
,Slaten,1442762739.0
SgtMattson,Slaten,1442762739.0
