user_name,parent_name,time
SuperSexi,BeauCookie,1443437720.0
MadTitan63,SuperSexi,1443458627.0
kingeryck,SuperSexi,1443464278.0
theburnout,BeauCookie,1443437720.0
AlexanderS4,BeauCookie,1443437720.0
texasroadkill,AlexanderS4,1443488288.0
AlexanderS4,texasroadkill,1443494323.0
kyleofz,BeauCookie,1443437720.0
VoilaVoilaWashington,BeauCookie,1443437720.0
fsamuel,GregoryGoose,1443437720.0
,fsamuel,1443462759.0
,fsamuel,1443465087.0
BlueOak777,fsamuel,1443463131.0
punktum87,GregoryGoose,1443437720.0
MasterFubar,GregoryGoose,1443437720.0
putsomecolourson,GregoryGoose,1443437720.0
Honestly_Nobody,GregoryGoose,1443437720.0
I_love_black_girls,Honestly_Nobody,1443466996.0
putsomecolourson,Honestly_Nobody,1443468802.0
,Honestly_Nobody,1443478371.0
putsomecolourson,I_love_black_girls,1443468097.0
,putsomecolourson,1443474230.0
Disproves,putsomecolourson,1443503204.0
Honestly_Nobody,,1443497667.0
Pedigree_Falcon,,1443475416.0
putsomecolourson,,1443479132.0
,Honestly_Nobody,1443612150.0
putsomecolourson,Pedigree_Falcon,1443478893.0
TryGo202,putsomecolourson,1443492175.0
putsomecolourson,TryGo202,1443513887.0
,GregoryGoose,1443437720.0
cheerio_knickers,,1443437140.0
Karma_,,1443441074.0
Shaysdays,,1443437720.0
Bill_Brasky01,Shaysdays,1443461957.0
,Shaysdays,1443461705.0
Shaysdays,,1443496875.0
,,1443437720.0
,,1443439041.0
mysticalmisogynistic,,1443460619.0
putsomecolourson,intertasi,1443437720.0
S1lent0ne,jerekdeter626,1443437720.0
tehbuggg,jerekdeter626,1443437720.0
jerekdeter626,tehbuggg,1443466218.0
roger_podakter,jerekdeter626,1443437720.0
iamzombus,ctilley83,1443437720.0
MezChick,Dreamwaltzer,1443437720.0
mannpt,Dreamwaltzer,1443437720.0
mannpt,Ironcymru,1443437720.0
62Noxium,PoisonIvey12344,1443437720.0
jayaugust,,1443437720.0
,jayaugust,1443436114.0
,,1443436457.0
,,1443437002.0
BlokeDude,,1443439658.0
putsomecolourson,,1443445125.0
,putsomecolourson,1443453003.0
eugenianus,,1443464959.0
ellgro,,1443437720.0
Dormidont,ellgro,1443454066.0
Goobermnt_Prospiracy,Dormidont,1443457291.0
UniMarketingMan,,1443437720.0
Gutbucket1968,Nerbelle,1443437720.0
sfuson79,FriarNurgle,1443437720.0
putsomecolourson,Hubertoi,1443437720.0
putsomecolourson,,1443437720.0
B00ker_DeWitt,BeSmartNoGetYouPussy,1443437720.0
putsomecolourson,BeSmartNoGetYouPussy,1443437720.0
makegr666,f1sound,1443437720.0
putsomecolourson,frisbee101,1443437720.0
MadTitan63,SuperSexi,1443437720.0
kingeryck,SuperSexi,1443437720.0
texasroadkill,AlexanderS4,1443437720.0
,fsamuel,1443437720.0
BlueOak777,fsamuel,1443437720.0
I_love_black_girls,Honestly_Nobody,1443437720.0
putsomecolourson,Honestly_Nobody,1443437720.0
,Honestly_Nobody,1443437720.0
cheerio_knickers,,1443437720.0
Karma_,,1443437720.0
Bill_Brasky01,Shaysdays,1443437720.0
,Shaysdays,1443437720.0
jerekdeter626,tehbuggg,1443437720.0
,jayaugust,1443437720.0
Dormidont,ellgro,1443437720.0
AlexanderS4,texasroadkill,1443437720.0
putsomecolourson,I_love_black_girls,1443437720.0
,putsomecolourson,1443437720.0
Disproves,putsomecolourson,1443437720.0
Honestly_Nobody,,1443437720.0
mysticalmisogynistic,,1443437720.0
Goobermnt_Prospiracy,Dormidont,1443437720.0
Pedigree_Falcon,,1443437720.0
putsomecolourson,Pedigree_Falcon,1443437720.0
TryGo202,putsomecolourson,1443437720.0
BlokeDude,,1443437720.0
putsomecolourson,TryGo202,1443437720.0
eugenianus,,1443437720.0
